Match_Id,Player_Id,Role_Id,.
336008,78,Player,
336008,82,Player,
336008,84,Player,
336008,95,Player,
336008,100,Player,
336008,104,Player,
336008,105,Player,
336008,106,Player,
336008,437,Player,
336009,40,Player,
336009,41,Captain,
336009,42,Player,
336009,44,Player,
336009,45,Player,
336009,46,Player,
336009,48,Player,
336009,49,Captain,
336009,71,Player,
336009,73,Player,
336009,79,Player,
336009,80,Player,
336009,86,Player,
336009,88,Keeper,
336009,89,Player,
336009,91,Player,
336009,110,Player,
336009,114,Keeper,
336009,115,Player,
336009,116,Player,
336009,117,Player,
336009,118,Player,
336010,17,Player,
336010,20,CaptainKeeper,
336010,21,Player,
336010,23,Player,
336010,31,Player,
336010,32,Player,
336010,33,Player,
336010,35,Player,
336010,36,Keeper,
336010,38,Captain,
336010,39,Player,
336010,74,Player,
336010,101,Player,
336010,102,Player,
336010,107,Player,
336010,108,Player,
336010,109,Player,
336010,119,Player,
336010,120,Player,
336010,121,Player,
336010,122,Player,
336010,126,Player,
336011,6,Captain,
336011,7,Player,
336011,8,Player,
336011,9,Player,
336011,10,Player,
336011,14,Player,
336011,15,Player,
336011,25,Player,
336011,27,Captain,
336011,29,Player,
336011,64,Player,
336011,67,Player,
336011,76,Player,
336011,77,Player,
336011,78,Player,
336011,94,Player,
336011,100,Player,
336011,113,Player,
336011,123,Keeper,
336011,124,Player,
336011,134,Keeper,
336011,437,Player,
336012,17,Player,
336012,20,CaptainKeeper,
336012,21,Player,
336012,23,Player,
336012,53,CaptainKeeper,
336012,54,Player,
336012,57,Player,
336012,58,Player,
336012,59,Player,
336012,61,Player,
336012,70,Player,
336012,97,Player,
336012,107,Player,
336012,109,Player,
336012,119,Player,
336012,120,Player,
336012,121,Player,
336012,122,Player,
336012,125,Player,
336012,131,Player,
336012,143,Player,
336012,232,Player,
336013,31,Player,
336013,32,Player,
336013,33,Player,
336013,35,Player,
336013,36,Keeper,
336013,38,Captain,
336013,39,Player,
336013,44,Player,
336013,45,Player,
336013,46,Player,
336013,48,Player,
336013,49,Captain,
336013,71,Player,
336013,73,Player,
336013,74,Player,
336013,79,Player,
336013,80,Player,
336013,101,Player,
336013,102,Player,
336013,114,Keeper,
336013,115,Player,
336013,126,Player,
336014,20,CaptainKeeper,
336014,21,Player,
336014,23,Player,
336014,40,Player,
336014,41,Captain,
336014,42,Player,
336014,86,Player,
336014,87,Player,
336014,88,Keeper,
336014,91,Player,
336014,107,Player,
336014,108,Player,
336014,109,Player,
336014,110,Player,
336014,116,Player,
336014,117,Player,
336014,118,Player,
336014,120,Player,
336014,121,Player,
336014,127,Player,
336014,151,Player,
336014,435,Player,
336015,1,Captain,
336015,4,Player,
336015,6,Captain,
336015,8,Player,
336015,10,Player,
336015,11,Keeper,
336015,14,Player,
336015,15,Player,
336015,51,Player,
336015,62,Keeper,
336015,63,Player,
336015,81,Player,
336015,83,Player,
336015,84,Player,
336015,94,Player,
336015,104,Player,
336015,105,Player,
336015,106,Player,
336015,124,Player,
336015,128,Player,
336015,129,Player,
336015,130,Player,
336016,31,Player,
336016,32,Player,
336016,33,Player,
336016,35,Player,
336016,36,Keeper,
336016,38,Captain,
336016,39,Player,
336016,53,CaptainKeeper,
336016,54,Player,
336016,57,Player,
336016,58,Player,
336016,59,Player,
336016,61,Player,
336016,70,Player,
336016,74,Player,
336016,97,Player,
336016,102,Player,
336016,112,Player,
336016,126,Player,
336016,131,Player,
336016,138,Player,
336016,143,Player,
336017,6,Captain,
336017,8,Player,
336017,10,Player,
336017,11,Player,
336017,12,Player,
336017,14,Player,
336017,44,Player,
336017,46,Player,
336017,48,Player,
336017,49,Player,
336017,73,Player,
336017,80,Player,
336017,81,Player,
336017,94,Player,
336017,96,Player,
336017,113,Player,
336017,114,Keeper,
336017,124,Player,
336017,132,Keeper,
336017,133,Captain,
336017,147,Player,
336017,149,Player,
336018,20,CaptainKeeper,
336018,21,Player,
336018,23,Player,
336018,24,Player,
336018,25,Player,
336018,27,Captain,
336018,29,Player,
336018,64,Player,
336018,67,Player,
336018,76,Player,
336018,77,Player,
336018,78,Player,
336018,100,Player,
336018,107,Player,
336018,108,Player,
336018,109,Player,
336018,120,Player,
336018,121,Player,
336018,127,Player,
336018,134,Keeper,
336018,151,Player,
336018,435,Player,
336019,1,Captain,
336019,4,Player,
336019,53,CaptainKeeper,
336019,54,Player,
336019,57,Player,
336019,58,Player,
336019,59,Player,
336019,60,Player,
336019,61,Player,
336019,62,Keeper,
336019,63,Player,
336019,83,Player,
336019,84,Player,
336019,97,Player,
336019,103,Player,
336019,105,Player,
336019,106,Player,
336019,112,Player,
336019,128,Player,
336019,129,Player,
336019,131,Player,
336019,143,Player,
336020,31,Player,
336020,32,Player,
336020,33,Player,
336020,35,Player,
336020,36,Keeper,
336020,38,Captain,
336020,39,Player,
336020,40,Player,
336020,41,Captain,
336020,42,Player,
336020,74,Player,
336020,88,Keeper,
336020,90,Player,
336020,91,Player,
336020,110,Player,
336020,116,Player,
336020,118,Player,
336020,126,Player,
336020,135,Player,
336020,136,Player,
336020,137,Player,
336020,138,Player,
336021,6,Captain,
336021,8,Player,
336021,10,Player,
336021,11,Keeper,
336021,14,Player,
336021,15,Player,
336021,25,Player,
336021,27,Captain,
336021,29,Player,
336021,64,Player,
336021,67,Player,
336021,77,Player,
336021,78,Player,
336021,81,Player,
336021,92,Player,
336021,94,Player,
336021,100,Player,
336021,113,Player,
336021,124,Player,
336021,130,Player,
336021,134,Keeper,
336021,139,Player,
336022,1,Captain,
336022,4,Player,
336022,40,Player,
336022,41,Captain,
336022,42,Player,
336022,62,Keeper,
336022,63,Player,
336022,84,Player,
336022,87,Player,
336022,90,Player,
336022,91,Player,
336022,103,Player,
336022,106,Player,
336022,110,Keeper,
336022,116,Player,
336022,118,Player,
336022,128,Player,
336022,129,Player,
336022,135,Player,
