Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name,Player_team,.
141,Younis Khan,1977/11/29,Right-hand bat,Right-arm medium,Pakistan,Rajasthan Royals,
142,PM Sarvesh Kumar,1989/04/26,Right-hand bat,Right-arm medium,India,Deccan Chargers,
143,DP Vijaykumar,1986/10/20,Right-hand bat,Right-arm medium,India,Deccan Chargers,
144,Shoaib Akhtar,1975/08/13,Right-hand bat,Right-arm fast,Pakistan,Kolkata Knight Riders,
145,Abdur Razzak,1982/06/15,Left-hand bat,Slow left-arm orthodox,Bangladesh,Royal Challengers Bangalore,
146,H Das,1986/12/10,Right-hand bat,NULL,India,Deccan Chargers,
147,DR Smith,1983/04/12,Right-hand bat,Right-arm medium,West Indies,Mumbai Indians,
148,SD Chitnis,1987/05/06,Right-hand bat,Right-arm offbreak,India,Mumbai Indians,
149,CRD Fernando,1979/07/19,Right-hand bat,Right-arm fast-medium,Sri Lanka,Mumbai Indians,
150,VS Yeligati,1985/04/23,Right-hand bat,Right-arm offbreak,India,Mumbai Indians,
151,L Balaji,1981/09/27,Right-hand bat,Right-arm medium-fast,India,Chennai Super Kings,
152,A Mukund,1990/01/06,Left-hand bat,Legbreak googly,India,Chennai Super Kings,
153,RR Powar,1978/05/20,Right-hand bat,Right-arm offbreak,India,Kings XI Punjab,
171,M Manhas,1979/10/12,Right-hand bat,Right-arm offbreak,India,Delhi Daredevils,
174,BAW Mendis,1985/03/11,Right-hand bat,Right-arm offbreak,Sri Lanka,Kolkata Knight Riders,
175,DL Vettori,1979/01/27,Left-hand bat,Slow left-arm orthodox,New Zealand,Delhi Daredevils,
232,UT Yadav,1987/10/25,Right-hand bat,Right-arm fast-medium,India,Deccan Chargers,
435,P Amarnath,1982/06/01,Right-hand bat,Right-arm medium,India,Chennai Super Kings,
436,B Geeves,1982/06/13,Right-hand bat,Right-arm fast-medium,Australia,Delhi Daredevils,
437,Gagandeep Singh,1981/10/03,Right-hand bat,Right-arm medium-fast,India,Kings XI Punjab,
438,A Nel,1977/07/15,Right-hand bat,Right-arm fast-medium,South Africa,Mumbai Indians,
466,P Dharmani,1979/09/06,Right-hand bat,NULL,India,Kings XI Punjab,
467,RV Pawar,1989/12/14,Left-hand bat,Slow left-arm orthodox,India,Mumbai Indians,
